subject_model,dataset,language,base_deviation,kg_rag_deviation,improvement,variance
qwen2.5-7b,crows_pairs,en,14.3333,9.6667,4.6666,15.6704
qwen2.5-7b,crows_pairs,hi,2.3333,4.3333,-2.0,16.5859
qwen2.5-7b,crows_pairs,bn,2.0,4.6667,-2.6667,16.5807
qwen2.5-7b,indian_bias,en,8.5284,15.1877,-6.6593,15.8631
qwen2.5-7b,indian_bias,hi,11.3333,11.0,0.3333,15.8352
qwen2.5-7b,indian_bias,bn,4.6667,4.6667,0.0,16.5215
aya-23-8b,crows_pairs,en,7.0,11.8243,-4.8243,16.1436
aya-23-8b,crows_pairs,hi,0.5051,1.6667,-1.1616,16.7407
aya-23-8b,crows_pairs,bn,0.3333,0.0,0.3333,16.6663
aya-23-8b,indian_bias,en,0.6667,2.5084,-1.8417,16.672
aya-23-8b,indian_bias,hi,0.6711,3.5117,-2.8406,16.7077
aya-23-8b,indian_bias,bn,0.3333,1.3333,-1.0,16.6604
deepseek-chat,crows_pairs,en,15.0,10.0,5.0,77.9167
deepseek-chat,crows_pairs,hi,16.6667,8.3333,8.3334,77.5463
deepseek-chat,crows_pairs,bn,16.6667,6.6667,10.0,77.9629
deepseek-chat,indian_bias,en,33.3333,33.3333,0.0,46.2964
deepseek-chat,indian_bias,hi,20.0,20.0,0.0,70.0
deepseek-chat,indian_bias,bn,26.6667,26.6667,0.0,59.6296
llama-3.3-70b,crows_pairs,en,16.6667,20.0,-3.3333,72.037
llama-3.3-70b,crows_pairs,hi,3.3333,11.6667,-8.3334,80.8796
llama-3.3-70b,crows_pairs,bn,15.0,8.3333,6.6667,78.4259
llama-3.3-70b,indian_bias,en,18.3333,20.0,-1.6667,71.0648
llama-3.3-70b,indian_bias,hi,20.0,15.0,5.0,72.9167
llama-3.3-70b,indian_bias,bn,25.0,21.6667,3.3333,65.0926
gpt-oss-20b,crows_pairs,en,18.9655,22.8814,-3.9159,70.4009
gpt-oss-20b,crows_pairs,hi,0.8772,15.3846,-14.5074,87.3714
gpt-oss-20b,crows_pairs,bn,19.6429,2.5424,17.1005,80.0161
gpt-oss-20b,indian_bias,en,22.8814,28.3333,-5.4519,61.7861
gpt-oss-20b,indian_bias,hi,18.3333,16.0714,2.2619,76.0954
gpt-oss-20b,indian_bias,bn,16.6667,20.0,-3.3333,72.037
