timestamp_utc,encoder,mitigation_method,evaluation_language,attribute,effect_size,p_value,n_target_stereotypical,n_target_anti,n_attr_pleasant,n_attr_unpleasant
2026-06-06T06:34:21Z,xlm-roberta-base,baseline,en,gender,0.0653,0.28057,145,145,8,8
2026-06-06T06:34:21Z,xlm-roberta-base,sentence_debias,en,gender,-0.0356,0.61994,145,145,8,8
2026-06-06T06:34:21Z,xlm-roberta-base,inlp,en,gender,0.0698,0.26777,145,145,8,8
2026-06-06T06:34:21Z,xlm-roberta-base,baseline,hi,gender,0.079,0.25237,141,141,8,8
2026-06-06T06:34:22Z,xlm-roberta-base,sentence_debias,hi,gender,0.044,0.35756,141,141,8,8
2026-06-06T06:34:22Z,xlm-roberta-base,inlp,hi,gender,0.0796,0.25237,141,141,8,8
2026-06-06T06:34:22Z,xlm-roberta-base,baseline,bn,gender,0.0366,0.37306,142,142,8,8
2026-06-06T06:34:22Z,xlm-roberta-base,sentence_debias,bn,gender,0.1378,0.11459,142,142,8,8
2026-06-06T06:34:23Z,xlm-roberta-base,inlp,bn,gender,0.0367,0.37206,142,142,8,8
2026-06-06T06:34:23Z,xlm-roberta-base,baseline,en,race-color,-0.2185,0.9942,275,275,8,8
2026-06-06T06:34:23Z,xlm-roberta-base,sentence_debias,en,race-color,-0.031,0.64304,275,275,8,8
2026-06-06T06:34:24Z,xlm-roberta-base,inlp,en,race-color,-0.2062,0.9914,275,275,8,8
2026-06-06T06:34:24Z,xlm-roberta-base,baseline,hi,race-color,-0.443,1.0,285,285,8,8
2026-06-06T06:34:24Z,xlm-roberta-base,sentence_debias,hi,race-color,-0.4902,1.0,285,285,8,8
2026-06-06T06:34:25Z,xlm-roberta-base,inlp,hi,race-color,-0.4401,1.0,285,285,8,8
2026-06-06T06:34:25Z,xlm-roberta-base,baseline,bn,race-color,0.105,0.10959,281,281,8,8
2026-06-06T06:34:26Z,xlm-roberta-base,sentence_debias,bn,race-color,0.2516,0.0018,281,281,8,8
2026-06-06T06:34:26Z,xlm-roberta-base,inlp,bn,race-color,0.1052,0.10909,281,281,8,8
2026-06-06T06:34:26Z,xlm-roberta-base,baseline,en,caste,0.0,0.38536,4,4,8,8
2026-06-06T06:34:26Z,xlm-roberta-base,sentence_debias,en,caste,0.0,0.37616,4,4,8,8
2026-06-06T06:34:26Z,xlm-roberta-base,inlp,en,caste,0.0,0.38536,4,4,8,8
2026-06-06T06:34:26Z,xlm-roberta-base,baseline,hi,caste,0.0,0.16308,2,2,8,8
