timestamp_utc,subject_model,dataset,language,layer,logit_lens_gap,causal_effect
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,0,0.36951,26.29637
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,1,0.16341,26.31548
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,2,0.15998,26.26547
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,3,0.04153,26.2496
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,4,0.04552,26.2528
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,5,-0.16736,26.25332
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,6,-0.16139,26.24992
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,7,-0.07836,26.24847
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,8,-0.02502,26.24163
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,9,-0.2535,26.23787
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,10,-0.15495,26.23121
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,11,-0.18742,26.22898
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,12,-0.20768,26.22876
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,13,-0.14657,26.20175
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,14,-0.06465,26.19873
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,15,0.03673,26.19689
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,16,-0.02645,26.19897
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,17,-0.0912,26.19926
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,18,-0.01461,26.19656
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,19,-0.05543,26.19872
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,20,-0.04065,26.19959
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,21,0.01071,26.2012
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,22,-0.0366,26.20516
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,23,-0.08299,26.20194
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,24,-0.0118,26.1987
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,25,-0.0218,26.19779
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,26,0.06011,26.19349
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,27,-0.03328,64.03564
2026-06-09T10:05:42Z,qwen2.5-7b,crows_pairs,en,28,-0.30531,
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,0,0.01322,17.40507
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,1,-0.0729,17.40851
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,2,-0.21805,17.41566
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,3,-0.26863,17.41713
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,4,-0.06817,17.41569
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,5,-0.18628,17.41673
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,6,-0.33743,17.4093
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,7,-0.27035,17.40407
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,8,-0.21786,17.39916
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,9,-0.45913,17.39867
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,10,-0.27527,17.39964
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,11,-0.17734,17.39482
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,12,-0.08017,17.3975
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,13,0.00386,17.39278
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,14,-0.12662,17.39074
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,15,-0.09707,17.38998
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,16,-0.0722,17.38976
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,17,-0.02272,17.3878
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,18,0.00541,17.38681
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,19,-0.0046,17.387
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,20,0.11637,17.38471
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,21,0.17858,17.3863
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,22,0.17166,17.38196
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,23,0.23917,17.38208
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,24,0.34164,17.38252
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,25,0.37957,17.37224
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,26,0.26626,17.3767
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,27,0.39833,38.12747
2026-06-09T10:47:27Z,qwen2.5-7b,indian_bias,en,28,0.90559,
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,0,-20.85466,17.65742
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,1,-3.21157,17.65951
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,2,-2.78243,17.65662
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,3,-2.20231,17.63751
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,4,-0.68455,17.63619
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,5,0.45714,17.60925
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,6,0.60546,17.61277
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,7,0.54098,17.59709
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,8,-0.77916,17.59408
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,9,0.40537,17.59392
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,10,0.93976,17.59061
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,11,0.92154,17.58903
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,12,-0.28491,17.58885
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,13,-0.91644,17.58931
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,14,-1.09359,17.59006
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,15,0.12912,17.5905
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,16,0.05196,17.59232
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,17,-0.01362,17.59303
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,18,0.25238,17.59329
2026-06-09T11:29:08Z,aya-23-8b,crows_pairs,en,19,1.75055,17.59431
