timestamp_utc,subject_model,dataset,language,variant,cut_size,bias_baseline,bias_after_cut,cut_bias_reduction,n_pairs,seed
2026-06-09T09:47:33Z,qwen2.5-7b,crows_pairs,en,learned_min_cut,474,60.38,58.4799,1.9001,1421,42
2026-06-09T09:47:33Z,qwen2.5-7b,crows_pairs,en,random_cut,474,60.38,59.1133,1.2667,1421,42
2026-06-09T09:47:33Z,qwen2.5-7b,crows_pairs,en,magnitude_cut,474,60.38,59.5355,0.8445,1421,42
2026-06-09T09:47:33Z,qwen2.5-7b,crows_pairs,bn,learned_min_cut,474,53.6017,54.8729,-1.2712,1416,42
2026-06-09T09:47:33Z,qwen2.5-7b,crows_pairs,bn,random_cut,474,53.6017,53.2486,0.3531,1416,42
2026-06-09T09:47:33Z,qwen2.5-7b,crows_pairs,bn,magnitude_cut,474,53.6017,52.613,0.9887,1416,42
2026-06-09T09:47:33Z,qwen2.5-7b,crows_pairs,hi,learned_min_cut,474,52.7465,52.1831,0.5634,1420,42
2026-06-09T09:47:33Z,qwen2.5-7b,crows_pairs,hi,random_cut,474,52.7465,51.4789,1.2676,1420,42
2026-06-09T09:47:33Z,qwen2.5-7b,crows_pairs,hi,magnitude_cut,474,52.7465,51.6197,1.1268,1420,42
2026-06-09T11:14:51Z,qwen2.5-7b,indian_bias,en,learned_min_cut,317,61.9236,62.0553,-0.1317,759,42
2026-06-09T11:14:51Z,qwen2.5-7b,indian_bias,en,random_cut,317,61.9236,62.7141,-0.7905,759,42
2026-06-09T11:14:51Z,qwen2.5-7b,indian_bias,en,magnitude_cut,317,61.9236,62.3188,-0.3952,759,42
2026-06-09T11:14:51Z,qwen2.5-7b,indian_bias,bn,learned_min_cut,317,51.3369,50.9358,0.4011,748,42
2026-06-09T11:14:51Z,qwen2.5-7b,indian_bias,bn,random_cut,317,51.3369,49.0642,0.4011,748,42
2026-06-09T11:14:51Z,qwen2.5-7b,indian_bias,bn,magnitude_cut,317,51.3369,51.6043,-0.2674,748,42
2026-06-09T11:14:51Z,qwen2.5-7b,indian_bias,hi,learned_min_cut,317,53.6193,53.8874,-0.2681,746,42
2026-06-09T11:14:51Z,qwen2.5-7b,indian_bias,hi,random_cut,317,53.6193,53.0831,0.5362,746,42
2026-06-09T11:14:51Z,qwen2.5-7b,indian_bias,hi,magnitude_cut,317,53.6193,53.2172,0.4021,746,42
2026-06-09T13:10:17Z,aya-23-8b,crows_pairs,en,learned_min_cut,693,61.506,58.4799,3.0261,1421,42
2026-06-09T13:10:17Z,aya-23-8b,crows_pairs,en,random_cut,693,61.506,61.4356,0.0704,1421,42
2026-06-09T13:10:17Z,aya-23-8b,crows_pairs,en,magnitude_cut,693,61.506,61.1541,0.3519,1421,42
2026-06-09T13:10:17Z,aya-23-8b,crows_pairs,bn,learned_min_cut,693,52.7542,52.5424,0.2118,1416,42
2026-06-09T13:10:17Z,aya-23-8b,crows_pairs,bn,random_cut,693,52.7542,55.1554,-2.4012,1416,42
2026-06-09T13:10:17Z,aya-23-8b,crows_pairs,bn,magnitude_cut,693,52.7542,51.8362,0.918,1416,42
2026-06-09T13:10:17Z,aya-23-8b,crows_pairs,hi,learned_min_cut,693,53.8028,54.5775,-0.7747,1420,42
2026-06-09T13:10:17Z,aya-23-8b,crows_pairs,hi,random_cut,693,53.8028,54.2958,-0.493,1420,42
2026-06-09T13:10:17Z,aya-23-8b,crows_pairs,hi,magnitude_cut,693,53.8028,53.5211,0.2817,1420,42
2026-06-09T14:41:21Z,aya-23-8b,indian_bias,en,learned_min_cut,93,58.3663,58.3663,0.0,759,42
2026-06-09T14:41:21Z,aya-23-8b,indian_bias,en,random_cut,93,58.3663,58.498,-0.1317,759,42
2026-06-09T14:41:21Z,aya-23-8b,indian_bias,en,magnitude_cut,93,58.3663,59.025,-0.6587,759,42
2026-06-09T14:41:21Z,aya-23-8b,indian_bias,bn,learned_min_cut,93,63.369,62.7005,0.6685,748,42
2026-06-09T14:41:21Z,aya-23-8b,indian_bias,bn,random_cut,93,63.369,63.2353,0.1337,748,42
2026-06-09T14:41:21Z,aya-23-8b,indian_bias,bn,magnitude_cut,93,63.369,62.4332,0.9358,748,42
2026-06-09T14:41:21Z,aya-23-8b,indian_bias,hi,learned_min_cut,93,51.8767,49.866,1.7427,746,42
2026-06-09T14:41:21Z,aya-23-8b,indian_bias,hi,random_cut,93,51.8767,51.6086,0.2681,746,42
2026-06-09T14:41:21Z,aya-23-8b,indian_bias,hi,magnitude_cut,93,51.8767,50.5362,1.3405,746,42
2026-06-09T17:02:58Z,xlm-r-base,crows_pairs,en,encoder_baseline,0,56.5799,56.5799,0.0,1421,42
2026-06-09T17:02:58Z,xlm-r-base,crows_pairs,bn,encoder_baseline,0,52.4011,52.4011,0.0,1416,42
2026-06-09T17:02:58Z,xlm-r-base,crows_pairs,hi,encoder_baseline,0,54.2254,54.2254,0.0,1420,42
2026-06-09T17:10:08Z,xlm-r-base,indian_bias,en,encoder_baseline,0,54.5455,54.5455,0.0,759,42
2026-06-09T17:10:08Z,xlm-r-base,indian_bias,bn,encoder_baseline,0,58.8235,58.8235,0.0,748,42
2026-06-09T17:10:08Z,xlm-r-base,indian_bias,hi,encoder_baseline,0,54.5576,54.5576,0.0,746,42
2026-06-09T17:25:09Z,muril-base,crows_pairs,en,encoder_baseline,0,56.3688,56.3688,0.0,1421,42
2026-06-09T17:25:09Z,muril-base,crows_pairs,bn,encoder_baseline,0,54.0254,54.0254,0.0,1416,42
2026-06-09T17:25:09Z,muril-base,crows_pairs,hi,encoder_baseline,0,55.7042,55.7042,0.0,1420,42
2026-06-09T17:30:56Z,muril-base,indian_bias,en,encoder_baseline,0,57.971,57.971,0.0,759,42
2026-06-09T17:30:56Z,muril-base,indian_bias,bn,encoder_baseline,0,58.5561,58.5561,0.0,748,42
2026-06-09T17:30:56Z,muril-base,indian_bias,hi,encoder_baseline,0,57.3727,57.3727,0.0,746,42
2026-06-09T17:53:22Z,mbert,crows_pairs,en,encoder_baseline,0,52.8501,52.8501,0.0,1421,42
2026-06-09T17:53:22Z,mbert,crows_pairs,bn,encoder_baseline,0,54.0254,54.0254,0.0,1416,42
2026-06-09T17:53:22Z,mbert,crows_pairs,hi,encoder_baseline,0,56.9014,56.9014,0.0,1420,42
2026-06-09T18:02:26Z,mbert,indian_bias,en,encoder_baseline,0,52.3057,52.3057,0.0,759,42
2026-06-09T18:02:26Z,mbert,indian_bias,bn,encoder_baseline,0,62.8342,62.8342,0.0,748,42
2026-06-09T18:02:26Z,mbert,indian_bias,hi,encoder_baseline,0,53.3512,53.3512,0.0,746,42
