timestamp_utc,subject_model,model_family,parameter_scale,dataset,evaluation_language,bias_category,metric_name,intrinsic_bias_score,fairness_deviation,n_pairs,n_stereotypical_wins,seed
2026-06-06T14:10:47Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,all,intrinsic_causal_ll_bias,55.4851,5.4851,4257,2362,42
2026-06-06T14:10:47Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,en,all,intrinsic_causal_ll_bias,60.4504,10.4504,1421,859,42
2026-06-06T14:10:47Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,bn,all,intrinsic_causal_ll_bias,53.8842,3.8842,1416,763,42
2026-06-06T14:10:47Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,hi,all,intrinsic_causal_ll_bias,52.1127,2.1127,1420,740,42
2026-06-06T14:10:47Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,race-color,intrinsic_causal_ll_bias,53.1944,3.1944,1487,791,42
2026-06-06T14:10:47Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,socioeconomic,intrinsic_causal_ll_bias,59.2,9.2,500,296,42
2026-06-06T14:10:47Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,gender,intrinsic_causal_ll_bias,51.2618,1.2618,634,325,42
2026-06-06T14:10:47Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,disability,intrinsic_causal_ll_bias,55.3672,5.3672,177,98,42
2026-06-06T14:10:47Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,nationality,intrinsic_causal_ll_bias,50.7527,0.7527,465,236,42
2026-06-06T14:10:47Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,sexual-orientation,intrinsic_causal_ll_bias,73.9837,23.9837,246,182,42
2026-06-06T14:10:47Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,physical-appearance,intrinsic_causal_ll_bias,55.914,5.914,186,104,42
2026-06-06T14:10:47Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,religion,intrinsic_causal_ll_bias,59.8684,9.8684,304,182,42
2026-06-06T14:10:47Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,age,intrinsic_causal_ll_bias,57.3643,7.3643,258,148,42
2026-06-06T15:57:23Z,qwen2.5-7b,Qwen2.5,7B,indian_bias,all,all,intrinsic_causal_ll_bias,55.2597,5.2597,2253,1245,42
2026-06-06T15:57:23Z,qwen2.5-7b,Qwen2.5,7B,indian_bias,en,all,intrinsic_causal_ll_bias,61.5283,11.5283,759,467,42
2026-06-06T15:57:23Z,qwen2.5-7b,Qwen2.5,7B,indian_bias,bn,all,intrinsic_causal_ll_bias,50.8021,0.8021,748,380,42
2026-06-06T15:57:23Z,qwen2.5-7b,Qwen2.5,7B,indian_bias,hi,all,intrinsic_causal_ll_bias,53.3512,3.3512,746,398,42
2026-06-06T15:57:23Z,qwen2.5-7b,Qwen2.5,7B,indian_bias,all,caste,intrinsic_causal_ll_bias,62.8205,12.8205,312,196,42
