timestamp_utc,subject_model,dataset,evaluation_language,comparison,delta_bias_points,ci_lower,ci_upper,p_value,significant,n_pairs
2026-06-08T14:35:01Z,gpt-oss-20b,crows_pairs,hi,expressed_baseline_minus_debias,2.185,0.8535,3.5507,0.0018,True,2929
2026-06-08T14:35:01Z,gpt-oss-20b,crows_pairs,en,expressed_baseline_minus_debias,1.5366,0.0788,3.0339,0.0412,True,2538
2026-06-08T14:35:01Z,gpt-oss-20b,crows_pairs,bn,expressed_baseline_minus_debias,2.102,0.6892,3.4459,0.0032,True,2902
2026-06-08T14:35:01Z,gpt-oss-20b,indian_bias,hi,expressed_baseline_minus_debias,0.657,-2.2339,3.6794,0.6758,False,761
2026-06-08T14:35:01Z,gpt-oss-20b,indian_bias,en,expressed_baseline_minus_debias,-2.5954,-5.9542,0.7634,0.1412,False,655
2026-06-08T14:35:01Z,gpt-oss-20b,indian_bias,bn,expressed_baseline_minus_debias,0.2762,-2.9006,3.453,0.9074,False,724
2026-06-08T14:35:01Z,aya-23-8b,crows_pairs,hi,expressed_baseline_minus_debias,3.695,2.1888,5.1777,0.0,True,4249
2026-06-08T14:35:01Z,aya-23-8b,crows_pairs,en,expressed_baseline_minus_debias,4.3416,2.8233,5.8363,0.0,True,4215
2026-06-08T14:35:01Z,aya-23-8b,crows_pairs,bn,expressed_baseline_minus_debias,1.6098,0.2841,2.9593,0.0186,True,4224
2026-06-08T14:35:01Z,aya-23-8b,indian_bias,hi,expressed_baseline_minus_debias,0.1757,-2.6362,3.0756,0.9462,False,1138
2026-06-08T14:35:01Z,aya-23-8b,indian_bias,en,expressed_baseline_minus_debias,5.9503,2.5755,9.2362,0.0,True,1126
2026-06-08T14:35:01Z,aya-23-8b,indian_bias,bn,expressed_baseline_minus_debias,0.0,-2.6502,2.5618,1.0,False,1132
2026-06-08T14:35:01Z,qwen2.5-7b,crows_pairs,hi,expressed_baseline_minus_debias,0.0,-1.3354,1.3097,1.0,False,3894
2026-06-08T14:35:01Z,qwen2.5-7b,crows_pairs,en,expressed_baseline_minus_debias,2.8305,1.3997,4.2613,0.0004,True,3215
2026-06-08T14:35:01Z,qwen2.5-7b,crows_pairs,bn,expressed_baseline_minus_debias,0.6248,-0.7029,1.9526,0.3616,False,3841
2026-06-08T14:35:01Z,qwen2.5-7b,indian_bias,hi,expressed_baseline_minus_debias,-3.17,-5.5716,-0.6724,0.0144,True,1041
2026-06-08T14:35:01Z,qwen2.5-7b,indian_bias,en,expressed_baseline_minus_debias,-1.25,-4.5,2.0,0.4602,False,800
2026-06-08T14:35:01Z,qwen2.5-7b,indian_bias,bn,expressed_baseline_minus_debias,0.0,-2.4925,2.4925,1.0,False,1003
2026-06-08T14:35:01Z,llama-3.3-70b,crows_pairs,hi,expressed_baseline_minus_debias,9.2277,7.8365,10.619,0.0,True,3522
2026-06-08T14:35:01Z,llama-3.3-70b,crows_pairs,en,expressed_baseline_minus_debias,8.7905,7.4871,10.0637,0.0,True,3299
2026-06-08T14:35:01Z,llama-3.3-70b,crows_pairs,bn,expressed_baseline_minus_debias,8.6155,7.2942,9.9642,0.0,True,3633
2026-06-08T14:35:01Z,llama-3.3-70b,indian_bias,hi,expressed_baseline_minus_debias,5.0439,2.0833,8.0044,0.0008,True,912
2026-06-08T14:35:01Z,llama-3.3-70b,indian_bias,en,expressed_baseline_minus_debias,3.6342,0.5862,6.5651,0.0192,True,853
2026-06-08T14:35:01Z,llama-3.3-70b,indian_bias,bn,expressed_baseline_minus_debias,5.0321,1.9272,8.03,0.0018,True,934
2026-06-08T14:35:01Z,deepseek-chat,crows_pairs,hi,expressed_baseline_minus_debias,7.3951,6.0606,8.7017,0.0,True,3597
2026-06-08T14:35:01Z,deepseek-chat,crows_pairs,en,expressed_baseline_minus_debias,9.268,7.9398,10.5962,0.0,True,3388
2026-06-08T14:35:01Z,deepseek-chat,crows_pairs,bn,expressed_baseline_minus_debias,7.509,6.2067,8.8113,0.0,True,3609
2026-06-08T14:35:01Z,deepseek-chat,indian_bias,hi,expressed_baseline_minus_debias,6.3959,3.6548,9.1371,0.0,True,985
2026-06-08T14:35:01Z,deepseek-chat,indian_bias,en,expressed_baseline_minus_debias,7.4866,4.8128,10.1604,0.0,True,935
2026-06-08T14:35:01Z,deepseek-chat,indian_bias,bn,expressed_baseline_minus_debias,7.7801,5.1867,10.3734,0.0,True,964
